execucao,subida_de_encosta,tempera_simulada,pioras_aceitas
1,90.3899,97.3823,474
2,91.6138,96.5866,635
3,95.5335,97.3823,467
4,96.5866,97.1331,681
5,68.9778,97.1331,608
6,96.5866,96.9771,558
7,96.9771,96.7759,617
8,67.9946,97.1331,593
9,61.7825,97.1331,613
10,74.0440,97.1331,604
11,95.5335,97.1331,593
12,96.5866,96.9771,588
13,91.4953,96.6763,576
14,70.0879,97.3823,500
15,96.7759,96.7759,625
16,96.9771,97.3823,466
17,61.7533,96.9771,594
18,96.5866,97.1331,602
19,97.3823,96.3186,596
20,97.3823,96.3186,567
21,96.9771,97.3823,459
22,97.1331,96.7759,596
23,73.8072,96.7759,608
24,94.6822,96.7759,646
25,97.1331,96.9771,624
26,67.9946,96.9771,617
27,95.5335,97.1331,576
28,97.3823,96.9771,587
29,60.7006,97.3823,516
30,66.3050,96.9771,614
