n,estados,estrategia,status,nos_expandidos,fronteira_max,tempo_s
12,144,BFS,ok,114,13,0.0
12,144,DFS,ok,103,60,0.0
12,144,UCS,ok,111,23,0.0
40,1600,BFS,ok,1286,41,0.0
40,1600,DFS,ok,1085,569,0.0
40,1600,UCS,ok,1278,57,0.0
100,10000,BFS,ok,8015,101,0.01
100,10000,DFS,ok,6432,3740,0.01
100,10000,UCS,ok,8015,140,0.02
300,90000,BFS,ok,71881,293,0.12
300,90000,DFS,ok,57297,35428,0.12
300,90000,UCS,ok,71881,451,0.21
1000,1000000,BFS,ok,798893,923,1.53
1000,1000000,DFS,ok,626867,404943,2.33
1000,1000000,UCS,ok,798893,1477,3.23
2000,4000000,BFS,ok,3194526,1823,6.75
2000,4000000,DFS,ok,2476537,1603423,22.44
2000,4000000,UCS,ok,3194523,2951,14.32
3000,9000000,BFS,ok,7187682,2699,16.43
3000,9000000,DFS,tempo>60s,,,
3000,9000000,UCS,ok,7187681,4412,35.56
